2023-07-31 11:37:47,280 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:16,516 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:16,518 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:16,518 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:16,519 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:18,763 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:18,764 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:18,765 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:18,765 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:24,420 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:24,421 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:41:24,422 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:41:24,423 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:44:52,701 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: devicethread-apis:devicethread-apis:0.0.1-SNAPSHOT @ D:\devicethread-automation\devicethread-apis\pom.xml.
2023-07-31 11:44:52,968 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/aventstack/extentreports/5.0.9/extentreports-5.0.9.pom
2023-07-31 11:44:52,993 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/aventstack/extentreports/5.0.9/extentreports-5.0.9.pom
2023-07-31 11:44:53,043 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/aventstack/extentreports/5.0.9/extentreports-5.0.9.jar
2023-07-31 11:44:53,121 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/aventstack/extentreports/5.0.9/extentreports-5.0.9.jar
2023-07-31 11:44:53,700 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:44:53,702 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:44:53,703 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:44:53,704 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:44:55,025 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:44:55,026 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:44:55,027 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:44:55,027 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:45:11,596 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:45:11,598 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:45:11,599 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:45:11,600 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:45:54,703 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:45:54,704 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:45:54,704 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:45:54,705 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:22,886 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:22,886 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:22,887 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:22,888 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:41,376 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:41,377 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:41,377 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:41,378 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:49,482 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:49,483 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:46:49,485 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:46:49,487 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:47:02,742 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-07-31 11:47:03,034 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: devicethread-apis:devicethread-apis:0.0.1-SNAPSHOT @ D:\devicethread-automation\devicethread-apis\pom.xml.
2023-07-31 11:47:03,530 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/main/java
2023-07-31 11:47:03,531 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/main/resources
2023-07-31 11:47:03,531 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/test/java
2023-07-31 11:47:03,531 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/test/resources
2023-07-31 11:47:03,635 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2023-07-31 11:47:03,948 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:47:03,949 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:47:03,950 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:47:03,950 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:48:49,370 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:48:49,370 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:48:49,370 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:48:49,370 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
